  kx         ky         kz
  0.950977   -1.642058   -5.257359  
  1.123834   -1.466635   -5.257359  
  1.294806   -1.294806   -5.257359  
  1.294806   -1.294806   -5.257359  
  1.466635   -1.123834   -5.257359  
  1.642058   -0.950977   -5.257359  
  1.823933   -0.773156   -5.257359  
  2.015192   -0.585930   -5.257359  
  2.218205   -0.378946   -5.257359  
  2.424973   -0.080989   -5.257359  
  2.424973   0.080989   -5.257359  


  2.449389   0.046139   -5.000903  
  2.239747   0.366693   -5.000903  
  2.031274   0.576212   -5.000903  
  1.835186   0.765498   -5.000903  
  1.649070   0.945552   -5.000903  
  1.469918   1.120946   -5.000903  
  1.294806   1.294806   -5.000903  
  1.294806   1.294806   -5.000903  
  1.120946   1.469918   -5.000903  
  0.945552   1.649070   -5.000903  
  0.765498   1.835186   -5.000903  
  0.576212   2.031274   -5.000903  
  0.366693   2.239747   -5.000903  
  0.046139   2.449389   -5.000903  
  -0.046139   2.449389   -5.000903  
  -0.366693   2.239747   -5.000903  
  -0.576212   2.031274   -5.000903  
  -0.765498   1.835186   -5.000903  
  -0.945552   1.649070   -5.000903  
  -1.120946   1.469918   -5.000903  
  -1.294806   1.294806   -5.000903  
  -1.294806   1.294806   -5.000903  
  -1.469918   1.120946   -5.000903  
  -1.649070   0.945552   -5.000903  
  -1.835186   0.765498   -5.000903  
  -2.031274   0.576212   -5.000903  
  -2.239747   0.366693   -5.000903  
  -2.449389   0.046139   -5.000903  
  -2.449389   -0.046139   -5.000903  
  -2.239747   -0.366693   -5.000903  
  -2.031274   -0.576212   -5.000903  
  -1.835186   -0.765498   -5.000903  
  -1.649070   -0.945552   -5.000903  
  -1.469918   -1.120946   -5.000903  
  -1.294806   -1.294806   -5.000903  
  -1.294806   -1.294806   -5.000903  
  -1.120946   -1.469918   -5.000903  
  -0.945552   -1.649070   -5.000903  
  -0.765498   -1.835186   -5.000903  
  -0.576212   -2.031274   -5.000903  
  -0.366693   -2.239747   -5.000903  
  -0.046139   -2.449389   -5.000903  
  0.046139   -2.449389   -5.000903  
  0.366693   -2.239747   -5.000903  
  0.576212   -2.031274   -5.000903  
  0.765498   -1.835186   -5.000903  
  0.945552   -1.649070   -5.000903  
  1.120946   -1.469918   -5.000903  
  1.294806   -1.294806   -5.000903  
  1.294806   -1.294806   -5.000903  
  1.469918   -1.120946   -5.000903  
  1.649070   -0.945552   -5.000903  
  1.835186   -0.765498   -5.000903  
  2.031274   -0.576212   -5.000903  
  2.239747   -0.366693   -5.000903  
  2.449389   -0.046139   -5.000903  
  2.449389   0.046139   -5.000903  


  2.472872   0.004159   -4.744446  
  2.261988   0.356381   -4.744446  
  2.047853   0.567579   -4.744446  
  1.846759   0.758398   -4.744446  
